"id","FDI_code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"215","SSD",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.10346062050291,0.103187684420514,0.103414855308938,0.103414601877278,0.103412313105098,0.103414965219861,0.103431764807658,0.10334823034504
"216","SSF",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103651781578009,0.103619166879545,0.103613552897126,0.103648863185475,0.103819896133203,0.103782461884326,0.103705416099549,0.103656566322474,0.103677721492549,0.103635814894877,0.10348766551386,0.103856585561618,0.103832325397181,0.103659018032827,0.103682863038528,0.103700670454784,0.103590644211804,0.103791555164288,0.103846626651729,0.104264158349408,0.103746997651911,0.104009531400435,0.103948688687882,0.104157679364397,0.104438153733512,0.104446905924398,0.104350066336464,0.105525796877057,0.105136731649112,0.105888113951399,0.105381528637477,0.107828824673569,0.106524931484587,0.107367457391818,0.107028853376782,0.109025378462658,0.108116682618924,0.111754501101573,0.1145127414567,0.113896175277083,0.112829625583983,0.115441689510456,0.116445981556787,0.115056162689934,0.116081598902788,0.116100621601539,0.112507645053807,0.111617337436172,0.112618349657727,0.112500601694594
"217","SST",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103553235240004,0.103540587637469,0.103520354606198,0.103517175259734,0.103552789031571,0.103541867728338,0.103493482940891,0.103491299798878,0.103528397203792,0.103596357125118,0.103486870038373,0.103658133583841,0.103597064586332,0.103571959804823,0.103543529286984,0.103527384053018,0.103494193035486,0.103553041050298,0.103612073942655,0.103589618288756,0.103693779183063,0.103873039829963,0.104057232539553,0.103598147773457,0.10394852239851,0.104310391204449,0.104875673107869,0.104721927597195,0.104859872730415,0.104962853285382,0.105212694713438,0.105151319548943,0.104980075894076,0.105803438493964,0.108307434467574,0.114452343201075,0.116637541216948,0.121849651590936,0.116930641050303,0.12805348750576,0.119799931183972,0.121106410116767,0.127839867728321,0.113904073879705,0.122166979423909,0.115140539308693,0.108801301843117,0.108942836390438,0.104846023694385,0.114877970424335
"218","STP",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414627625965,0.103414616182104,0.103414544657973,0.103414558962799,0.103414558962799,0.103414558962799,0.103414421636469,0.103414421636469,0.103414567545695,0.103414650513686,0.103414673401408,0.103415760568193,0.103415417252367,0.103415646129585,0.103415417252367,0.10341558891028,0.103415531690976,0.103415560586724,0.103419040378727,0.103425435162265,0.103424866599318,0.103437201611095,0.103418993458897,0.103429035446834,0.103423757637906,0.103420987988535,0.103418038567358,0.103422137654565,0.103422547939011,0.103421233905689,0.103424345892549,0.103421338970164,0.103421524508668
"219","SUR",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103413128480187,0.103412613506447,0.103415420113332,0.103418621533418,0.103416690381891,0.103414890834765,0.103414862225113,0.103408093181392,0.103410696659747,0.103406719918085,0.103419737309855,0.103432211118233,0.1034113832914,0.103437875829377,0.103394274719359,0.103420652818727,0.103397278732845,0.103377480853493,0.103365636457464,0.103328815835028,0.103392586749877,0.103419851748464,0.103399023921631,0.103401226864854,0.103405918847822,0.103408665374437,0.103420023406378,0.103411926874793,0.103417162441153,0.10339696402667,0.103386750380819,0.103406891575998,0.103393502258749,0.103392787017443,0.103403887562513,0.103422569665427,0.103367810791035,0.103343978950716,0.10334835622751,0.103387837547605,0.103341404082015,0.103456125572126,0.103463035782701,0.103467991788556,0.103397486685511,0.103467105124545,0.103480838041703,0.103442045844901,0.10345202638262,0.103435273150339
"220","SVK",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103471444753673,0.103491770053181,0.103482115786989,0.10351492913005,0.103465114157134,0.103599552508758,0.103511515702792,0.104039141755692,0.103853025930428,0.104619722671343,0.103691843860801,0.104577111833962,0.104537061052155,0.105045720183218,0.104861702240605,0.104742301856737,0.103849735646543,0.104019891414761,0.104968518714589,0.103922828357619,0.103701771722063,0.103310732107945,0.10384953666115,0.104771478824569,0.104623483270888,0.104058519558358,0.104076210583522
"221","SVN",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103446315676789,0.103446773431225,0.103448003646271,0.103457587879772,0.103464139490136,0.103510258249551,0.103476269982687,0.10344505685209,0.103453410870545,0.10355795053984,0.103943780309986,0.103567792260211,0.103632879219064,0.103692301466772,0.103612543922191,0.103953709682514,0.10372375543111,0.10331529165963,0.103505864932063,0.103665164163841,0.103424154036352,0.10344431950028,0.103706200211351,0.103909548031192,0.103828332991819,0.10375679580663,0.103854614785567,0.103903771195082
"222","SWE",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103445528912295,0.103438619756727,0.103433242819372,0.103438580654672,0.103436470092652,0.10343750823957,0.10341595062219,0.103437862585071,0.103434503334114,0.103446736127066,0.103486343873971,0.103466376017804,0.103516127350622,0.103479130425986,0.103497531346753,0.10352698171048,0.103724303128427,0.103597435577211,0.103893320083857,0.103932967169048,0.10398172378335,0.105231524560795,0.103413008694458,0.104474524080429,0.105208035400413,0.107688662359897,0.104985767804669,0.106353075303963,0.110090583129751,0.121413014464317,0.109942662726588,0.108626611074787,0.108673483790518,0.105133336295929,0.108236615684075,0.109360413330285,0.109723747263004,0.116616056000586,0.115269412962416,0.105978233171459,0.103593398511922,0.105411327801023,0.104637201475569,0.103791301629952,0.100947178731808,0.106348286713775,0.107889763102342,0.111437891377172,0.103142093962201,0.108231365702363
"223","SWZ",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414750647469,0.103414576128591,0.103415569492442,0.10341869851748,0.103416664633203,0.103420283754208,0.103420777270709,0.103430426360618,0.103422126159853,0.103425154177117,0.103410659380197,0.10341294114744,0.103415994024519,0.103417883763379,0.103423461011311,0.103430662167464,0.103429030733378,0.103433779857191,0.103423172861319,0.103438057437724,0.103439537111547,0.103435135202013,0.103432658032895,0.103429366220853,0.103420771790528,0.103410177700831,0.103458251750085,0.103442673808119,0.1034404959031,0.103422950197933,0.103441150293674,0.103397338618431,0.103434466134409,0.103401441338635,0.10344918554898,0.10342528582182,0.103444807769207,0.10343335718071,0.103453370935388,0.103442799070377,0.103422134799381,0.103437958842685,0.103421935285061,0.103423570458062,0.103422241248835,0.103398066186803,0.103423465384046,0.103451170998545
"224","SXM",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103400688875528,0.103418423663309,0.103428107790847,0.103428208484037,0.103422504134939,0.103426447152374,0.103432940177156,0.103400850624045,0.10343037372171
"225","SYC",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103415188375149,0.103415076797505,0.103414945193105,0.10341622976649,0.103415053909783,0.103415869284872,0.103416371437258,0.103416580215894,0.103416369578742,0.103416706541139,0.103417282477754,0.10341743991086,0.10341742412958,0.103417169011435,0.103417355015294,0.103417891022688,0.103418620780889,0.10342011051399,0.103421197066859,0.103420975855278,0.103420349527573,0.103420161569243,0.103417137845722,0.10341994791213,0.103423352603098,0.103427686308103,0.103422802254429,0.103429836138867,0.103429782092505,0.103430356278227,0.103421518831997,0.103433080925047,0.103428210844579,0.103431274306822,0.103425434879786,0.10343765546041,0.103454771457908,0.103464890106279,0.103466006397015,0.103462695178172,0.103460275863887,0.103455539618956,0.103589995861213,0.103430949165247,0.103445559078257,0.103444854752706,0.103426247204398,0.103450168119726,0.103502580750323,0.103479845881158
"226","SYR",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414530353147,0.103414530353147,0.103414561823765,0.103414546088456,0.103414561823765,0.103414599016312,0.103414587572452,0.103414584711486,0.103414558962799,0.10341457040666,0.103414547518938,0.10341457040666,0.103414586141969,0.103414553240869,0.103414573267625,0.103418850410636,0.103420280893248,0.103420853086293,0.103422283568905,0.103423141858472,0.103426002823696,0.10343000817501,0.103430866464578,0.103445743483744,0.103486369189929,0.103443168615042,0.103440021553295,0.103437446684593,0.103438018877638,0.103489802348198,0.103491805023855,0.103446029580266,0.103447460062878,0.103460334406388,0.103493235506467,0.103557607224013,0.103603096571079,0.103769879146629,0.103833868716801,0.104149697787494,0.103834891076203,0.103644627096225,0.103644627096225,0.103644627096225,0.103644627096225,0.103644627096225,0.103644627096225,0.103644627096225,0.103644627096225,0.103644627096225
"227","TCA",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103394665813305,0.10339456424904,0.103419305304106,0.103420872540856,0.103426639960652,0.103422272601871
"228","TCD",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414730620713,0.103414644791756,0.103414530353147,0.103416304151586,0.103418507094809,0.103420366722205,0.1034222263496,0.103420610922763,0.103424325168339,0.103414189898285,0.103414435941295,0.103414527492182,0.103414524631217,0.103414533214112,0.10341718712145,0.103429908068006,0.103422627028083,0.103416894102204,0.103414927811957,0.103419920218333,0.10341724827011,0.103415771876876,0.103415119932556,0.103418896444019,0.10342230494002,0.1034238890196,0.103425850097799,0.103427231305162,0.103420766307612,0.103421575471659,0.103447509392082,0.103546125138283,0.103678946255114,0.103618449498913,0.103548106957595,0.103386137413482,0.103334905685604,0.103322534585878,0.103547917420895,0.103521816549057,0.103504107174319,0.103495209572472,0.103580435734524,0.103563386588722,0.103221287625655,0.103574670599249,0.103484561666709,0.103518521185286,0.103546418133783,0.10357667239611
"229","TEA",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103533999364261,0.103561885907543,0.103567307491662,0.103707346914284,0.103747835062233,0.10395045557301,0.103816327260198,0.103701136541939,0.103739499656959,0.103679071210316,0.103808495783518,0.104064893962681,0.104102035634862,0.104221053762534,0.104222986346232,0.104253468831221,0.104305427059018,0.104536325499934,0.10534241867985,0.105803547722847,0.106387023614533,0.107179851468496,0.109519313861997,0.114515709289199,0.116422533760376,0.117920304283882,0.120167883516799,0.121538450308472,0.120436436741731,0.118585368083152,0.117169004167809,0.118383230785585,0.12154171871592,0.122988184937013,0.127224145311048,0.140401131952866,0.147124681913799,0.158784512909345,0.16395706126265,0.148035926998824,0.188796503095406,0.199858253344567,0.190530322023763,0.206882809250418,0.197703365720947,0.191005380749737,0.166413118188365,0.172074240674216,0.192426991298742,0.168793477823963
"230","TEC",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.1034311525611,0.103427433306309,0.103426861113264,0.103437160588071,0.103432869140235,0.103447173966356,0.103419136507158,0.103423714051517,0.103431438657623,0.103444599097654,0.103422569665427,0.103446887869834,0.103434299622847,0.10343229694719,0.103454898572462,0.103447173966356,0.103454898572462,0.103450893221148,0.103520128579575,0.103607388018915,0.103645727813886,0.103756987890493,0.104324031197944,0.105013772286146,0.104820825471048,0.106072376527641,0.106693669469974,0.108312446400372,0.108551272743911,0.108749458898585,0.108953251198002,0.109351934567052,0.108702654803594,0.112132316844367,0.120168647011523,0.122564955287281,0.139127801105324,0.153355676938372,0.156821315706602,0.134501433277693,0.134390126899497,0.143773692103309,0.13669207192501,0.137922621459936,0.129188374506767,0.124162868697611,0.135273195143367,0.127595856221596,0.123207664485894,0.129730731296563
"231","TGO",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414759230365,0.103415875006802,0.103414902278626,0.103415503081323,0.103401876824458,0.103416050099427,0.103416168140162,0.103417779998254,0.103441135517456,0.103429603391922,0.103426785254624,0.103417475398713,0.103419174205671,0.103414971891459,0.10341171604679,0.1034192153399,0.103416307897287,0.103416604708654,0.103418268586359,0.103417182193384,0.103419777248061,0.103416412814749,0.103410808358577,0.103409244462166,0.103413624725392,0.103412323602775,0.10341520380245,0.103418066610813,0.103417739258334,0.10341887593023,0.103429670103615,0.103435334620185,0.103431097146313,0.103427654634117,0.103437437438487,0.103442025258387,0.103440707252818,0.103432413332007,0.103429119093433,0.103427806518114,0.103450339367416,0.103623040610969,0.103449322999145,0.103467086069447,0.103430013994887,0.103488331822505,0.103401310310164,0.103439895298758,0.103362783298442,0.103452699326776
